conteudo,enviado_por,canal,prioridade_atendimento,status_atendimento,tipo_pessoa,gravidade,categoria
Esperamos mais de duas horas e ninguém nos atendeu,BENEFICIARIO,telefone,2,ABERTO,OUTRO,1,reclamacao
"Meu filho foi maltratado pelo atendente, péssimo serviço",BENEFICIARIO,whatsapp,4,SOLICITADO,OUTRO,3,reclamacao
"Fui embora sem ser atendida, uma vergonha isso",BENEFICIARIO,telefone,4,SOLICITADO,CRIANCA_ADOLESCENTE,3,reclamacao
Já é a terceira vez que venho aqui e não consigo atendimento,BENEFICIARIO,email,2,SOLICITADO,MULHER_APOLONIA,2,reclamacao
"O dentista não apareceu na consulta marcada, absurdo",BENEFICIARIO,email,2,ABERTO,MULHER_APOLONIA,2,reclamacao
"Fui atendida depois de 3 horas de espera, completamente desorganizado",BENEFICIARIO,whatsapp,2,ABERTO,OUTRO,3,reclamacao
Minha filha ficou chorando de dor esperando e ninguém fez nada,BENEFICIARIO,telefone,3,SOLICITADO,OUTRO,2,reclamacao
Reclamei do atendimento e ninguém me deu retorno nenhum,BENEFICIARIO,email,4,SOLICITADO,OUTRO,3,reclamacao
"O sistema não funciona, tentei agendar e deu erro várias vezes",BENEFICIARIO,presencial,2,ABERTO,CRIANCA_ADOLESCENTE,3,reclamacao
"Trataram meu filho com descaso, vou reclamar formalmente",BENEFICIARIO,telefone,2,ABERTO,OUTRO,2,reclamacao
Não fui informada sobre o cancelamento da consulta,BENEFICIARIO,presencial,2,SOLICITADO,MULHER_APOLONIA,2,reclamacao
"Chegamos cedo e fomos atendidos por último, sem explicação",BENEFICIARIO,email,2,SOLICITADO,CRIANCA_ADOLESCENTE,2,reclamacao
O voluntário foi grosseiro e não deixou eu falar,BENEFICIARIO,presencial,4,SOLICITADO,OUTRO,1,reclamacao
Ninguém me respondeu no whatsapp há dois dias,BENEFICIARIO,presencial,4,ABERTO,MULHER_APOLONIA,1,reclamacao
Marquei consulta por email e não recebi confirmação nenhuma,BENEFICIARIO,presencial,3,SOLICITADO,MULHER_APOLONIA,2,reclamacao
Fui encaminhada pro lugar errado e tive que voltar outra hora,BENEFICIARIO,email,3,SOLICITADO,MULHER_APOLONIA,1,reclamacao
Minha situação piorou enquanto esperava o atendimento,BENEFICIARIO,telefone,3,SOLICITADO,MULHER_APOLONIA,2,reclamacao
"Não consigo agendar pelo site, está fora do ar desde ontem",BENEFICIARIO,email,3,ABERTO,OUTRO,2,reclamacao
Fui ignorada quando pedi informação na recepção,BENEFICIARIO,telefone,2,SOLICITADO,CRIANCA_ADOLESCENTE,1,reclamacao
Prometeram me ligar e nunca ligaram,BENEFICIARIO,email,4,ABERTO,MULHER_APOLONIA,1,reclamacao
O atendimento foi cancelado sem aviso prévio,BENEFICIARIO,presencial,2,ABERTO,CRIANCA_ADOLESCENTE,3,reclamacao
"Não tem cadeira pra sentar enquanto espera, péssimo",BENEFICIARIO,whatsapp,2,ABERTO,OUTRO,1,reclamacao
Meu caso foi passado para outro voluntário sem me avisar,BENEFICIARIO,presencial,2,SOLICITADO,OUTRO,3,reclamacao
Perdi dia de trabalho pra vir aqui e não fui atendida,BENEFICIARIO,telefone,2,SOLICITADO,OUTRO,3,reclamacao
O dentista atrasou duas horas e não pediu desculpas,BENEFICIARIO,whatsapp,4,ABERTO,MULHER_APOLONIA,3,reclamacao
Meu filho tem medo e o atendente foi impaciente com ele,BENEFICIARIO,email,2,SOLICITADO,OUTRO,1,reclamacao
Ninguém explicou o procedimento antes de fazer,BENEFICIARIO,presencial,3,ABERTO,OUTRO,3,reclamacao
Saí sem entender nada do que foi feito no atendimento,BENEFICIARIO,email,2,ABERTO,MULHER_APOLONIA,3,reclamacao
Me pediram documentos que eu já tinha entregado antes,BENEFICIARIO,telefone,2,ABERTO,CRIANCA_ADOLESCENTE,3,reclamacao
"O telefone não atende, tentei ligar quinze vezes",BENEFICIARIO,email,4,ABERTO,CRIANCA_ADOLESCENTE,2,reclamacao
Meu caso ficou parado por semanas sem nenhuma atualização,BENEFICIARIO,telefone,4,SOLICITADO,OUTRO,3,reclamacao
Fui ao endereço indicado e o local estava fechado,BENEFICIARIO,whatsapp,4,ABERTO,MULHER_APOLONIA,2,reclamacao
Perdi o ônibus esperando e não fui atendida mesmo assim,BENEFICIARIO,presencial,2,ABERTO,OUTRO,3,reclamacao
Recebi informações diferentes de dois atendentes diferentes,BENEFICIARIO,whatsapp,2,SOLICITADO,MULHER_APOLONIA,1,reclamacao
Me disseram que meu caso não era urgente e eu discordo,BENEFICIARIO,telefone,4,ABERTO,OUTRO,3,reclamacao
O tratamento foi interrompido sem explicação,BENEFICIARIO,whatsapp,2,SOLICITADO,OUTRO,3,reclamacao
Ninguém me avisou que precisaria de exame antes da consulta,BENEFICIARIO,telefone,3,SOLICITADO,MULHER_APOLONIA,2,reclamacao
Minha solicitação foi ignorada por mais de uma semana,BENEFICIARIO,whatsapp,3,ABERTO,CRIANCA_ADOLESCENTE,2,reclamacao
O sistema marcou minha consulta no dia errado,BENEFICIARIO,presencial,3,SOLICITADO,OUTRO,2,reclamacao
"Fui mal atendida por telefone, a pessoa foi grossa comigo",BENEFICIARIO,telefone,2,ABERTO,MULHER_APOLONIA,1,reclamacao
Chegamos no horário marcado e a consulta havia sido cancelada,BENEFICIARIO,whatsapp,2,ABERTO,MULHER_APOLONIA,1,reclamacao
Meu filho ficou com dor depois do procedimento e ninguém orientou,BENEFICIARIO,presencial,2,ABERTO,OUTRO,3,reclamacao
Não consegui falar com nenhum responsável sobre meu caso,BENEFICIARIO,email,4,ABERTO,MULHER_APOLONIA,1,reclamacao
O atendimento foi muito demorado para um caso simples,BENEFICIARIO,whatsapp,4,SOLICITADO,OUTRO,3,reclamacao
Me mandaram de um lado pro outro sem resolver nada,BENEFICIARIO,email,2,SOLICITADO,CRIANCA_ADOLESCENTE,2,reclamacao
"Fui atendida por alguém sem preparo, me senti insegura",BENEFICIARIO,whatsapp,3,SOLICITADO,MULHER_APOLONIA,3,reclamacao
O voluntário não sabia responder minhas perguntas básicas,BENEFICIARIO,email,4,ABERTO,CRIANCA_ADOLESCENTE,1,reclamacao
Enviou mensagem pelo whatsapp e ficou sem resposta por dias,BENEFICIARIO,presencial,2,ABERTO,CRIANCA_ADOLESCENTE,2,reclamacao
Minha consulta foi remarcada três vezes seguidas,BENEFICIARIO,email,3,ABERTO,CRIANCA_ADOLESCENTE,1,reclamacao
Não fui informada sobre os direitos que tenho nesse atendimento,BENEFICIARIO,whatsapp,4,SOLICITADO,MULHER_APOLONIA,1,reclamacao
Esperamos mais de duas horas e ninguém nos atendeu,BENEFICIARIO,presencial,3,SOLICITADO,MULHER_APOLONIA,3,reclamacao
"Meu filho foi maltratado pelo atendente, péssimo serviço",BENEFICIARIO,presencial,4,ABERTO,OUTRO,1,reclamacao
"Fui embora sem ser atendida, uma vergonha isso",BENEFICIARIO,telefone,3,SOLICITADO,CRIANCA_ADOLESCENTE,2,reclamacao
Já é a terceira vez que venho aqui e não consigo atendimento,BENEFICIARIO,email,3,ABERTO,OUTRO,1,reclamacao
"O dentista não apareceu na consulta marcada, absurdo",BENEFICIARIO,whatsapp,4,SOLICITADO,CRIANCA_ADOLESCENTE,3,reclamacao
"Fui atendida depois de 3 horas de espera, completamente desorganizado",BENEFICIARIO,presencial,4,SOLICITADO,OUTRO,2,reclamacao
Minha filha ficou chorando de dor esperando e ninguém fez nada,BENEFICIARIO,telefone,4,ABERTO,OUTRO,1,reclamacao
Reclamei do atendimento e ninguém me deu retorno nenhum,BENEFICIARIO,whatsapp,4,SOLICITADO,CRIANCA_ADOLESCENTE,3,reclamacao
"O sistema não funciona, tentei agendar e deu erro várias vezes",BENEFICIARIO,presencial,2,ABERTO,MULHER_APOLONIA,3,reclamacao
"Trataram meu filho com descaso, vou reclamar formalmente",BENEFICIARIO,telefone,3,SOLICITADO,OUTRO,3,reclamacao
Não fui informada sobre o cancelamento da consulta,BENEFICIARIO,presencial,3,SOLICITADO,CRIANCA_ADOLESCENTE,1,reclamacao
"Chegamos cedo e fomos atendidos por último, sem explicação",BENEFICIARIO,email,2,SOLICITADO,MULHER_APOLONIA,1,reclamacao
O voluntário foi grosseiro e não deixou eu falar,BENEFICIARIO,whatsapp,4,ABERTO,CRIANCA_ADOLESCENTE,1,reclamacao
Ninguém me respondeu no whatsapp há dois dias,BENEFICIARIO,telefone,4,SOLICITADO,OUTRO,2,reclamacao
Marquei consulta por email e não recebi confirmação nenhuma,BENEFICIARIO,presencial,2,SOLICITADO,OUTRO,1,reclamacao
Fui encaminhada pro lugar errado e tive que voltar outra hora,BENEFICIARIO,presencial,3,SOLICITADO,MULHER_APOLONIA,3,reclamacao
Minha situação piorou enquanto esperava o atendimento,BENEFICIARIO,presencial,3,ABERTO,OUTRO,1,reclamacao
"Não consigo agendar pelo site, está fora do ar desde ontem",BENEFICIARIO,whatsapp,3,SOLICITADO,MULHER_APOLONIA,2,reclamacao
Fui ignorada quando pedi informação na recepção,BENEFICIARIO,email,3,ABERTO,CRIANCA_ADOLESCENTE,1,reclamacao
Prometeram me ligar e nunca ligaram,BENEFICIARIO,presencial,2,SOLICITADO,CRIANCA_ADOLESCENTE,2,reclamacao
O atendimento foi cancelado sem aviso prévio,BENEFICIARIO,whatsapp,4,ABERTO,CRIANCA_ADOLESCENTE,1,reclamacao
"Não tem cadeira pra sentar enquanto espera, péssimo",BENEFICIARIO,presencial,4,ABERTO,MULHER_APOLONIA,3,reclamacao
Meu caso foi passado para outro voluntário sem me avisar,BENEFICIARIO,email,3,SOLICITADO,MULHER_APOLONIA,2,reclamacao
Perdi dia de trabalho pra vir aqui e não fui atendida,BENEFICIARIO,whatsapp,4,SOLICITADO,OUTRO,3,reclamacao
O dentista atrasou duas horas e não pediu desculpas,BENEFICIARIO,email,2,SOLICITADO,CRIANCA_ADOLESCENTE,3,reclamacao
Meu filho tem medo e o atendente foi impaciente com ele,BENEFICIARIO,presencial,2,ABERTO,CRIANCA_ADOLESCENTE,3,reclamacao
Ninguém explicou o procedimento antes de fazer,BENEFICIARIO,presencial,4,SOLICITADO,CRIANCA_ADOLESCENTE,1,reclamacao
Saí sem entender nada do que foi feito no atendimento,BENEFICIARIO,presencial,3,ABERTO,MULHER_APOLONIA,1,reclamacao
Me pediram documentos que eu já tinha entregado antes,BENEFICIARIO,email,4,SOLICITADO,CRIANCA_ADOLESCENTE,1,reclamacao
"O telefone não atende, tentei ligar quinze vezes",BENEFICIARIO,presencial,2,ABERTO,MULHER_APOLONIA,1,reclamacao
Meu caso ficou parado por semanas sem nenhuma atualização,BENEFICIARIO,telefone,4,SOLICITADO,CRIANCA_ADOLESCENTE,3,reclamacao
Fui ao endereço indicado e o local estava fechado,BENEFICIARIO,whatsapp,2,SOLICITADO,OUTRO,1,reclamacao
Perdi o ônibus esperando e não fui atendida mesmo assim,BENEFICIARIO,presencial,4,SOLICITADO,MULHER_APOLONIA,1,reclamacao
Recebi informações diferentes de dois atendentes diferentes,BENEFICIARIO,email,4,SOLICITADO,MULHER_APOLONIA,3,reclamacao
Me disseram que meu caso não era urgente e eu discordo,BENEFICIARIO,presencial,3,SOLICITADO,MULHER_APOLONIA,3,reclamacao
O tratamento foi interrompido sem explicação,BENEFICIARIO,email,4,SOLICITADO,OUTRO,3,reclamacao
Ninguém me avisou que precisaria de exame antes da consulta,BENEFICIARIO,email,3,SOLICITADO,CRIANCA_ADOLESCENTE,1,reclamacao
Minha solicitação foi ignorada por mais de uma semana,BENEFICIARIO,whatsapp,4,SOLICITADO,OUTRO,1,reclamacao
O sistema marcou minha consulta no dia errado,BENEFICIARIO,email,4,SOLICITADO,OUTRO,2,reclamacao
"Fui mal atendida por telefone, a pessoa foi grossa comigo",BENEFICIARIO,whatsapp,2,SOLICITADO,MULHER_APOLONIA,3,reclamacao
